"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.528790958E0,-2.490392447E0,-8.761322498E-1,1.099513888E0
2.538854958E0,-2.280514240E0,-8.263143301E-1,1.028452992E0
2.548918958E0,-2.143944025E0,-6.171970963E-1,9.849665165E-1
2.558981958E0,-2.026968479E0,-5.519335270E-1,9.580092430E-1
2.569045958E0,-1.888607979E0,-4.831217229E-1,8.779729605E-1
2.579108958E0,-1.768490076E0,-4.861047864E-1,7.519367933E-1
2.589172958E0,-1.638407946E0,-5.625675917E-1,6.106625199E-1
2.599236958E0,-1.487624288E0,-5.404764414E-1,4.884438515E-1
2.609299958E0,-1.404017806E0,-5.317335725E-1,4.370107651E-1
2.619363958E0,-1.328024745E0,-5.653442740E-1,4.377948940E-1
2.629427958E0,-1.205925703E0,-5.370772481E-1,4.164842665E-1
2.639490958E0,-1.055732250E0,-5.130134225E-1,3.917653561E-1
2.649554958E0,-9.101317525E-1,-3.837278783E-1,3.627557158E-1
2.659617958E0,-8.121368885E-1,-3.259061873E-1,3.110582232E-1
2.669681958E0,-7.084797621E-1,-3.389391899E-1,2.619745731E-1
2.679745958E0,-6.016998291E-1,-2.422669828E-1,2.454413474E-1
2.689808958E0,-4.619233012E-1,-1.568375677E-1,2.414937466E-1
2.699872958E0,-3.178846836E-1,-1.394386441E-1,2.316978276E-1
2.709936958E0,-1.796075106E-1,-1.428035498E-1,1.927860975E-1
2.719999958E0,-4.637231305E-2,-1.509377658E-1,1.053634435E-1
2.730063958E0,7.383585721E-2,-1.503931433E-1,-3.786478192E-3
2.740127958E0,1.998817921E-1,-1.541306078E-1,-1.019379273E-1
2.750190958E0,3.541054428E-1,-1.713950932E-1,-1.844919324E-1
2.760254958E0,5.195513964E-1,-1.557677835E-1,-2.728369832E-1
2.770317958E0,6.752957106E-1,-1.035967171E-1,-3.871188164E-1
2.780381958E0,8.381352425E-1,-6.164138764E-2,-5.300511122E-1
2.790445958E0,1.009554982E0,-6.543612480E-2,-6.545757651E-1
2.800508958E0,1.184924483E0,-8.071004599E-2,-7.539514303E-1
2.810572958E0,1.384887218E0,-7.045181841E-2,-8.254961371E-1
2.820636958E0,1.560463548E0,-5.714799836E-2,-8.801386356E-1
2.830699958E0,1.732478142E0,-5.776704475E-2,-9.115464091E-1
2.840763958E0,1.888186932E0,-3.707103431E-2,-9.301722646E-1
2.850826958E0,2.034879684E0,-1.319206506E-2,-9.437943101E-1
2.860890958E0,2.180504799E0,2.303594351E-2,-9.609778523E-1
2.870954958E0,2.324630022E0,1.105591357E-1,-9.892307520E-1
2.881017958E0,2.470171452E0,2.215436399E-1,-1.011105180E0
2.891081958E0,2.576682329E0,3.485838771E-1,-1.023360491E0
2.901145958E0,2.665958643E0,4.634653330E-1,-1.043534994E0
2.911208958E0,2.747703314E0,5.809407830E-1,-1.061055183E0
2.921272958E0,2.804744244E0,6.821379066E-1,-1.061559796E0
2.931335958E0,2.839878798E0,7.553418279E-1,-1.062644482E0
2.941399958E0,2.871507883E0,8.170557618E-1,-1.075017571E0
2.951463958E0,2.908878565E0,8.513718843E-1,-1.081919909E0
2.961526958E0,2.924784660E0,8.321655989E-1,-1.042012453E0
2.971588250E0,2.893404007E0,8.314771652E-1,-9.441325665E-1
2.981651250E0,2.835200548E0,8.020639420E-1,-7.763518095E-1
2.991715250E0,2.760920286E0,7.296629548E-1,-5.869304538E-1
3.001779250E0,2.721916437E0,6.554946899E-1,-4.297670126E-1
3.011842250E0,2.724270344E0,6.397620440E-1,-2.916072607E-1
3.021906250E0,2.748653173E0,6.442640424E-1,-2.013759017E-1
3.031969250E0,2.805277109E0,6.432874799E-1,-1.183473319E-1
3.042033250E0,2.924122334E0,6.790805459E-1,-2.892386168E-2
3.052097250E0,3.126329184E0,8.307129145E-1,8.187508583E-2
