"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.748313167E0,-5.100643158E0,-7.999365234E-1,5.652096405E0
1.758270167E0,-5.854026489E0,-9.015751648E-1,6.390660553E0
1.768227167E0,-6.708898773E0,-8.575666809E-1,7.114854584E0
1.778184167E0,-7.532037048E0,-6.397695923E-1,7.595205688E0
1.788141167E0,-8.209079132E0,-2.538720703E-1,7.602690125E0
1.798098167E0,-8.627010040E0,2.636018372E-1,7.491770782E0
1.808055167E0,-8.815617828E0,6.391708374E-1,7.491022339E0
1.818012167E0,-8.843609619E0,5.468128967E-1,7.601193237E0
1.827969167E0,-9.104367371E0,4.565505981E-2,7.889942780E0
1.837926167E0,-8.885372772E0,-5.945635986E-1,8.255632324E0
1.847883167E0,-9.146280212E0,-9.975256348E-1,8.802445221E0
1.857840167E0,-9.638307037E0,-8.827143860E-1,9.662855988E0
1.867797167E0,-1.032118698E1,-4.441264343E-1,1.050515442E1
1.877754167E0,-1.092308533E1,8.322692871E-2,1.096140564E1
1.887711167E0,-1.121303238E1,6.890171814E-1,1.082189575E1
1.897668167E0,-1.163829803E1,1.122665405E0,1.060454773E1
1.907625167E0,-1.173394913E1,1.260379028E0,1.037223083E1
1.917582167E0,-1.114327744E1,1.128652954E0,9.876611481E0
1.927539167E0,-1.185714294E1,9.740245056E-1,1.049692154E1
1.937496167E0,-1.294283524E1,7.312294006E-1,1.135823044E1
1.947453167E0,-1.354922424E1,4.287084961E-1,1.181298477E1
1.957410167E0,-1.326137283E1,7.574249268E-2,1.189995392E1
1.967367167E0,-1.322859100E1,1.266366577E-1,1.277039383E1
1.977324167E0,-1.303190002E1,4.683760071E-1,1.312141388E1
1.987281167E0,-1.287921753E1,9.051676941E-1,1.295945068E1
1.997238167E0,-1.287966660E1,1.433269501E0,1.292068130E1
2.007196167E0,-1.292322601E1,1.804198151E0,1.239542358E1
2.017153167E0,-1.284014877E1,1.744921417E0,1.153710846E1
2.027110167E0,-1.252191055E1,1.331331482E0,1.066457291E1
2.037067167E0,-1.189411606E1,8.945397949E-1,1.002839584E1
2.047024167E0,-1.105960144E1,7.951464844E-1,9.590556335E0
2.056981167E0,-1.030576904E1,8.343649292E-1,9.269773407E0
2.066938167E0,-9.666448517E0,8.084687805E-1,8.935518494E0
2.076895167E0,-9.128467255E0,8.014334106E-1,8.562045135E0
2.086852167E0,-8.743767242E0,9.015751648E-1,8.128845978E0
2.096809167E0,-8.427175598E0,1.110989685E0,7.619604950E0
2.106766167E0,-8.199049988E0,1.313668213E0,7.102131042E0
2.116723167E0,-7.945776672E0,1.439556427E0,6.762038269E0
2.126680167E0,-7.686216431E0,1.347797241E0,6.647227020E0
2.136637167E0,-7.403454437E0,1.070124664E0,6.797813873E0
2.146594167E0,-7.014862518E0,6.801855469E-1,6.982529755E0
2.156551167E0,-6.606062622E0,2.311193848E-1,7.016509094E0
2.166508167E0,-6.278843079E0,-1.936972046E-1,6.985373840E0
2.176465167E0,-5.924978943E0,-4.900808716E-1,6.856940918E0
2.186422167E0,-5.771697693E0,-8.065228271E-1,6.726562042E0
2.196379167E0,-5.817951508E0,-1.058598633E0,6.635102234E0
2.206336167E0,-6.059399414E0,-1.028211823E0,6.391708374E0
2.216293167E0,-6.453380127E0,-7.252418518E-1,6.124514008E0
2.226250167E0,-6.831643524E0,-4.830455017E-1,5.973178711E0
2.236207167E0,-6.884034576E0,-4.493655396E-1,5.862109680E0
2.246164167E0,-6.687642975E0,-5.128335571E-1,5.723797302E0
2.256121167E0,-6.375541992E0,-6.797364807E-1,5.507646790E0
2.266079042E0,-5.997128906E0,-9.848020935E-1,5.225633240E0
2.276036042E0,-5.579647064E0,-1.343306580E0,4.936584320E0
2.285993042E0,-5.188061371E0,-1.587897949E0,4.636009369E0
2.295950042E0,-4.765490112E0,-1.638941803E0,4.271068268E0
2.305907042E0,-4.392615509E0,-1.546583862E0,3.743864594E0
2.315864042E0,-4.063000946E0,-1.388811951E0,3.261866913E0
2.325821042E0,-3.658542023E0,-1.171613617E0,2.945275269E0
2.335778042E0,-3.185525665E0,-9.301657104E-1,2.863245850E0
2.345735042E0,-2.715652771E0,-6.375242615E-1,2.907853088E0
2.355692042E0,-2.318378906E0,-3.047662354E-1,2.987936554E0
2.365649042E0,-2.066452789E0,2.409988403E-2,3.068918152E0
2.375606042E0,-1.911824341E0,3.052153015E-1,3.196153564E0
2.385563042E0,-2.011666718E0,3.668870544E-1,3.342848511E0
2.395520042E0,-2.358794861E0,1.914518738E-1,3.524121552E0
2.405477042E0,-2.662064209E0,4.460723877E-2,3.641477509E0
2.415434042E0,-2.951113129E0,-1.377136230E-1,3.561244354E0
2.425391042E0,-3.310515747E0,-3.373983765E-1,3.381917267E0
2.435349042E0,-3.555107117E0,-5.162763977E-1,3.193309479E0
2.445305042E0,-3.762126617E0,-6.132746887E-1,3.065924377E0
2.455263042E0,-3.882326660E0,-6.721023560E-1,2.958148499E0
2.465220042E0,-3.918551331E0,-6.556365967E-1,2.967578888E0
2.475177042E0,-3.799848175E0,-5.779481506E-1,3.156935120E0
2.485134042E0,-3.689078522E0,-5.330415344E-1,3.379372559E0
2.495091042E0,-3.619772644E0,-5.251080322E-1,3.589535522E0
2.505048042E0,-3.637735291E0,-5.126838684E-1,3.748804321E0
2.515005042E0,-3.690276031E0,-4.508624268E-1,3.859424286E0
2.524962042E0,-3.799399109E0,-4.514611816E-1,3.988306274E0
2.534919042E0,-3.956871643E0,-5.363346863E-1,4.142785034E0
2.544876042E0,-4.258045349E0,-6.806346130E-1,4.344116364E0
2.554833042E0,-4.634213104E0,-7.595205688E-1,4.654870148E0
2.564790042E0,-5.062322845E0,-7.900570679E-1,5.096451874E0
2.574747042E0,-5.545667725E0,-7.957452393E-1,5.529651031E0
2.584704042E0,-6.123615875E0,-8.093669128E-1,5.917195129E0
2.594661042E0,-6.699318695E0,-7.203021240E-1,6.322103119E0
2.604618042E0,-7.247778168E0,-6.141728210E-1,6.676266632E0
2.614575042E0,-7.746540985E0,-4.855902100E-1,7.105124817E0
2.624532042E0,-8.236322479E0,-3.490740967E-1,7.522756348E0
2.634489042E0,-8.527017975E0,-2.975811768E-1,7.897127838E0
2.644446042E0,-8.592431946E0,-3.824546814E-1,8.165370026E0
2.654403042E0,-8.629255371E0,-4.607418823E-1,8.369994507E0
2.664360042E0,-8.697663116E0,-2.841091919E-1,8.424181824E0
2.674317042E0,-8.635542297E0,1.263372803E-1,8.447084198E0
2.684274042E0,-8.676557007E0,3.851490784E-1,8.504564667E0
2.694231042E0,-8.920998688E0,4.052073669E-1,8.644373932E0
2.704188042E0,-9.189390564E0,4.927752686E-1,8.995843048E0
2.714145042E0,-9.315877533E0,6.397695923E-1,9.404792633E0
2.724102042E0,-9.532327423E0,7.024891663E-1,9.845925293E0
2.734059042E0,-9.983638916E0,5.962101746E-1,1.037327866E1
2.744016042E0,-1.042447220E1,4.429289246E-1,1.078791641E1
2.753973042E0,-1.103220840E1,2.878514099E-1,1.117965179E1
2.763930042E0,-1.193513077E1,2.186952209E-1,1.154713760E1
2.773887042E0,-1.252699997E1,3.415896606E-1,1.161120438E1
2.783844042E0,-1.280542099E1,5.501060486E-1,1.140328674E1
2.793801042E0,-1.319281540E1,6.499484253E-1,1.123548569E1
2.803758042E0,-1.421294403E1,8.279283142E-1,1.168769531E1
2.813715042E0,-1.353036346E1,1.152453461E0,1.163440613E1
2.823672042E0,-1.351359833E1,1.122066650E0,1.146974854E1
2.833629042E0,-1.273207352E1,1.182989960E0,1.164817749E1
2.843586042E0,-1.185489761E1,1.218466187E0,1.177900543E1
2.853543042E0,-1.118204681E1,1.231339417E0,1.163395706E1
2.863500042E0,-1.061023590E1,1.161734161E0,1.146690445E1
2.873458042E0,-1.028301636E1,1.013093262E0,1.117231705E1
2.883415042E0,-1.020847137E1,8.798703003E-1,1.066202820E1
2.893372042E0,-1.024020538E1,7.520361328E-1,1.010743149E1
2.903329042E0,-1.017838394E1,6.071374512E-1,9.497599640E0
2.913286042E0,-9.919721832E0,5.075944519E-1,8.819060669E0
2.923243042E0,-9.545350342E0,4.514611816E-1,8.267906799E0
2.933200042E0,-9.042695618E0,4.308041382E-1,7.891289978E0
2.943157042E0,-8.402776337E0,5.908213806E-1,7.666158142E0
2.953114042E0,-7.658524017E0,9.202862549E-1,7.623347168E0
2.963071042E0,-6.873855743E0,1.311572571E0,7.711364136E0
2.973028042E0,-6.326593781E0,1.645528107E0,7.727081451E0
2.982985042E0,-5.946085052E0,1.814676361E0,7.636370087E0
2.992942042E0,-5.700445862E0,1.748364258E0,7.515421600E0
3.002899042E0,-5.664071503E0,1.428030396E0,7.600893860E0
3.012856042E0,-5.933211823E0,8.557704163E-1,7.667804718E0
3.022813042E0,-6.196514282E0,4.183799744E-1,7.559280396E0
3.032770042E0,-6.472390594E0,1.056802368E-1,7.388335876E0
3.042727042E0,-6.802903290E0,-2.433938599E-1,7.080126801E0
3.052684042E0,-7.026388550E0,-5.686674500E-1,6.658603363E0
3.062641042E0,-7.158114624E0,-8.110134888E-1,6.389013977E0
3.072598042E0,-7.066355438E0,-9.413923645E-1,6.323450317E0
3.082555042E0,-6.807543640E0,-1.089733887E0,6.227799225E0
3.092512042E0,-6.516399078E0,-1.279539185E0,6.089486847E0
3.102469042E0,-6.291865997E0,-1.439706116E0,5.836662598E0
3.112426042E0,-6.042783966E0,-1.646426239E0,5.541626129E0
3.122383042E0,-5.778283997E0,-1.829345856E0,5.337001648E0
3.132340042E0,-5.495072937E0,-1.996099091E0,5.181475067E0
3.142297042E0,-5.150339813E0,-2.044598236E0,4.965623932E0
3.152254042E0,-4.779261475E0,-1.899400177E0,4.645589447E0
3.162211042E0,-4.359683990E0,-1.576371918E0,4.233496399E0
3.172168042E0,-3.946094055E0,-1.204395447E0,3.783831482E0
3.182125042E0,-3.624562683E0,-9.782157898E-1,3.451522522E0
3.192082042E0,-3.253484344E0,-7.866142273E-1,3.217409363E0
3.202039042E0,-2.865191803E0,-5.891748047E-1,3.016377411E0
3.211996042E0,-2.523153076E0,-3.981719971E-1,2.827170868E0
3.221953042E0,-2.292333069E0,-1.841171265E-1,2.739153900E0
3.231910042E0,-2.161954193E0,-2.365081787E-2,2.747386780E0
3.241867042E0,-2.160008240E0,3.188369751E-2,2.739453278E0
3.251824042E0,-2.382146301E0,-6.915618896E-2,2.891537018E0
3.261781042E0,-2.663261719E0,-1.992356873E-1,3.190764771E0
3.271737500E0,-2.918630676E0,-3.499722290E-1,3.420387268E0
3.281694500E0,-3.099903717E0,-5.399272156E-1,3.535647583E0
3.291651500E0,-3.302133179E0,-6.836283875E-1,3.544179840E0
3.301609500E0,-3.450624390E0,-8.089178467E-1,3.433709564E0
3.311566500E0,-3.502266998E0,-8.542735291E-1,3.388503571E0
3.321523500E0,-3.455115051E0,-8.499325562E-1,3.356919250E0
3.331480500E0,-3.426374817E0,-9.306147766E-1,3.338806915E0
3.341437500E0,-3.453468475E0,-1.063837738E0,3.359613647E0
3.351394500E0,-3.472928009E0,-1.258882141E0,3.471131744E0
3.361351500E0,-3.516337738E0,-1.361269226E0,3.602857819E0
3.371308500E0,-3.676804047E0,-1.314716034E0,3.761827240E0
3.381265500E0,-4.006717987E0,-1.135688324E0,3.997137909E0
3.391222500E0,-4.415068817E0,-8.665480042E-1,4.231999512E0
3.401179500E0,-4.838987274E0,-5.837860107E-1,4.460873566E0
3.411136500E0,-5.241200867E0,-3.359014893E-1,4.683161316E0
3.421093500E0,-5.684728546E0,-1.417552185E-1,4.910538483E0
3.431050500E0,-6.100414124E0,1.212478638E-2,5.247936859E0
3.441007500E0,-6.498586121E0,1.306782532E-1,5.699697418E0
3.450964500E0,-6.913223877E0,1.651066589E-1,6.301146698E0
3.460921500E0,-7.267387390E0,2.215393066E-2,6.972500610E0
3.470878500E0,-7.614665222E0,-2.832110596E-1,7.497309265E0
3.480835500E0,-7.875572662E0,-5.246589661E-1,7.849227448E0
3.490792500E0,-8.141120453E0,-5.707630920E-1,8.043373718E0
3.500749500E0,-8.326734467E0,-3.611988831E-1,8.162376251E0
3.510706500E0,-8.346942444E0,-3.712280273E-2,8.191415863E0
3.520663500E0,-8.442294159E0,2.377056885E-1,8.292455750E0
3.530620500E0,-8.318351898E0,3.282673645E-1,8.443940735E0
