"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.445868167E0,-4.846341908E-1,-1.803092211E-1,-4.424367249E-1
1.455825167E0,-4.616607130E-1,-1.634389013E-1,-3.967896104E-1
1.465782167E0,-4.499835372E-1,-1.430164427E-1,-3.444161415E-1
1.475739167E0,-4.405578077E-1,-1.572611630E-1,-2.916815579E-1
1.485696167E0,-4.215547740E-1,-1.829657704E-1,-2.567421794E-1
1.495653167E0,-4.018532336E-1,-2.507911623E-1,-2.325750440E-1
1.505610167E0,-3.809711039E-1,-2.516111434E-1,-1.985467672E-1
1.515567167E0,-3.425512910E-1,-2.467237115E-1,-1.690746397E-1
1.525524167E0,-3.014106750E-1,-1.934295446E-1,-1.502926052E-1
1.535481167E0,-2.346066087E-1,-5.867705494E-2,-1.521418989E-1
1.545438167E0,-1.324903518E-1,6.632294506E-2,-1.617109627E-1
1.555395167E0,-4.745642096E-2,1.430640668E-1,-1.420288682E-1
1.565352167E0,1.879684068E-2,1.825758815E-1,-8.911611140E-2
1.575309167E0,8.316517621E-2,1.956844926E-1,-5.570082460E-3
1.585266167E0,1.568998396E-1,1.862786561E-1,8.669255674E-2
1.595223167E0,2.083204240E-1,1.732752472E-1,1.917095184E-1
1.605180167E0,2.367330194E-1,1.765687019E-1,2.997782230E-1
1.615137167E0,2.644237578E-1,2.055521458E-1,3.954448402E-1
1.625094167E0,3.169978857E-1,2.265976220E-1,4.597871602E-1
1.635051167E0,3.877479732E-1,2.346366346E-1,4.965704679E-1
1.645008167E0,4.615066648E-1,2.114002109E-1,5.260535479E-1
1.654965167E0,5.201572180E-1,1.861049682E-1,5.550396442E-1
1.664922167E0,5.677054524E-1,1.791274846E-1,5.847670436E-1
1.674879167E0,6.073958278E-1,1.594142318E-1,6.136849523E-1
1.684836167E0,6.369355917E-1,1.104899049E-1,6.462337375E-1
1.694793167E0,6.448981762E-1,3.420152143E-2,6.795067787E-1
1.704750167E0,6.304196715E-1,-2.249910310E-2,7.096999288E-1
1.714707167E0,5.971227288E-1,-4.504888877E-2,7.253923416E-1
1.724664167E0,5.558507442E-1,-2.604457736E-2,7.097269297E-1
1.734621167E0,5.278587937E-1,2.595337853E-2,6.765564680E-1
1.744578167E0,5.235621333E-1,8.699785173E-2,6.379264593E-1
1.754535167E0,5.454842448E-1,1.234208345E-1,6.065925360E-1
1.764492167E0,5.943422318E-1,1.280553639E-1,5.913294554E-1
1.774449167E0,6.525996923E-1,6.712969393E-2,5.834273100E-1
1.784407167E0,6.821530461E-1,-7.815331221E-2,5.887070298E-1
1.794364167E0,6.745308042E-1,-1.939643323E-1,6.205552220E-1
1.804321167E0,6.611363888E-1,-2.155253887E-1,6.554744840E-1
1.814278167E0,6.337633729E-1,-1.961700618E-1,6.878590584E-1
1.824235167E0,6.115942001E-1,-1.748260111E-1,7.022613883E-1
1.834192167E0,5.598218441E-1,-2.042182535E-1,6.658335924E-1
1.844149167E0,4.826816320E-1,-2.233522832E-1,6.046931744E-1
1.854106167E0,4.454365373E-1,-2.679647505E-1,5.286188722E-1
1.864063167E0,4.924041927E-1,-3.335071206E-1,4.886031747E-1
1.874020167E0,5.604000092E-1,-3.791425228E-1,4.471321702E-1
1.883977167E0,5.514037013E-1,-3.536486626E-1,4.068223834E-1
1.893934167E0,5.194990039E-1,-2.806873620E-1,4.198747873E-1
1.903891167E0,4.532121420E-1,-2.970367074E-1,4.523902833E-1
1.913848167E0,3.269431591E-1,-3.098292053E-1,3.969427347E-1
1.923805167E0,2.887458503E-1,-1.446259916E-1,3.251999021E-1
1.933762167E0,3.010493815E-1,1.601999551E-1,2.612155974E-1
1.943719167E0,2.377838939E-1,7.615497708E-2,1.861982644E-1
1.953676167E0,7.143594325E-2,-1.227024645E-1,1.160583273E-1
1.963633167E0,-3.072689474E-2,-1.617967933E-1,1.007269230E-2
1.973590167E0,-8.952336758E-2,-1.588079184E-1,-6.239431724E-2
1.983547167E0,-1.082458273E-1,-8.641998470E-2,-1.221740544E-1
1.993504167E0,-9.112410247E-2,-1.819081604E-3,-1.819726676E-1
2.003461167E0,-9.263494611E-2,3.241014108E-2,-2.047000676E-1
2.013418167E0,-1.372460872E-1,7.135993987E-2,-2.222827822E-1
2.023375167E0,-2.067948580E-1,7.014514506E-2,-2.321143150E-1
2.033332167E0,-2.790128589E-1,5.260103568E-2,-2.436423451E-1
2.043289167E0,-3.380702734E-1,4.360571876E-2,-2.698882818E-1
2.053246167E0,-3.649895191E-1,5.159520358E-2,-3.140189648E-1
2.063203167E0,-3.797765970E-1,5.034313723E-2,-3.675123751E-1
2.073160167E0,-3.886816502E-1,5.389845744E-2,-4.193255305E-1
2.083117167E0,-3.745692968E-1,8.234980702E-2,-4.697601795E-1
