"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.765147193E0,3.428718746E-1,7.722939551E-2,-4.151745737E-1
2.775017818E0,3.343500197E-1,3.781577200E-2,-3.224993050E-1
2.784972818E0,3.503285050E-1,-9.054481052E-3,-2.340849638E-1
2.794927766E0,3.567199111E-1,-5.272903293E-2,-1.754971445E-1
2.804854641E0,3.577851355E-1,-6.125089899E-2,-1.414096802E-1
2.814809589E0,3.471328020E-1,-2.716344222E-2,-1.201050207E-1
2.824764537E0,3.162410557E-1,3.568530455E-2,-1.243659556E-1
2.834638026E0,2.672403455E-1,1.283605844E-1,-1.051917598E-1
2.844592974E0,1.788259894E-1,2.327534109E-1,-2.636451647E-2
2.854547870E0,8.934641629E-2,3.275591433E-1,3.967992961E-2
2.864460526E0,9.320789250E-4,4.106473327E-1,7.483261824E-2
2.874415474E0,-1.183740199E-1,4.202344418E-1,9.507204592E-2
2.884370370E0,-2.035926580E-1,3.307548463E-1,1.035939083E-1
2.894297245E0,-1.865489334E-1,2.114487588E-1,1.280942708E-1
2.904252193E0,-1.482005417E-1,1.027949899E-1,1.749645174E-1
2.914207141E0,-1.588528752E-1,9.054481052E-3,2.250304818E-1
2.924119068E0,-2.057231218E-1,-5.379426852E-2,2.740311921E-1
2.934074016E0,-2.525933683E-1,-5.272903293E-2,3.166405261E-1
2.944028964E0,-2.611152530E-1,-5.272903293E-2,3.485974967E-1
2.953926099E0,-2.195711583E-1,-1.411433816E-1,3.624455333E-1
2.963881047E0,-1.535267085E-1,-2.774932086E-1,3.411408663E-1
2.973835995E0,-8.215609938E-2,-3.925383687E-1,2.846835256E-1
2.983744068E0,-8.655018173E-3,-3.563204408E-1,2.037258148E-1
2.993699016E0,2.117150649E-2,-5.485950038E-2,1.131810099E-1
3.003653964E0,1.051917579E-2,3.541899920E-1,5.139749497E-2
3.013552401E0,-7.682993263E-2,6.609770656E-1,2.796236612E-2
3.023507349E0,-2.504629195E-1,9.081111550E-1,-5.059856921E-3
3.033462349E0,-4.400743842E-1,8.122401834E-1,-6.577813625E-2
3.043362297E0,-7.074478865E-1,2.529928386E-1,-2.010627389E-1
3.053317245E0,-6.179683208E-1,1.177082509E-1,6.950645149E-2
3.063272193E0,-2.770937383E-1,-1.475347728E-1,7.854762077E-1
3.073163287E0,1.691057347E-2,-9.933298230E-1,7.620410919E-1
3.083114797E0,1.809564531E-1,-8.250229955E-1,3.869459033E-1
3.093066308E0,2.715012729E-1,1.443390697E-1,3.209014535E-1
3.102975891E0,5.037220716E-1,3.776251078E-1,1.685731262E-1
3.112927453E0,5.292876363E-1,-1.443390697E-1,6.737598777E-2
3.122878964E0,3.599156141E-1,-3.925383687E-1,1.259638071E-1
