"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.666020474E0,-5.981458187E0,-2.734816742E1,-4.060021877E0
2.675975422E0,-8.548358679E-1,-2.537409019E1,-1.650449395E0
2.685869849E0,8.985049129E-1,-2.363510513E1,-3.421736360E-1
2.695824745E0,6.209374666E-1,-2.188176537E1,-1.133001566E0
2.705779693E0,-8.644071817E-1,-1.989332962E1,-2.182254314E0
2.715718443E0,-2.062014818E0,-1.735873222E1,-2.201396942E0
2.725673391E0,-1.803590059E0,-1.469013596E1,-1.746162295E0
2.735628339E0,-1.055832982E0,-1.204068375E1,-1.223928809E0
2.745537297E0,-6.346961856E-1,-9.510871887E0,-6.729813814E-1
2.755492245E0,-6.634100676E-1,-7.302296638E0,-3.948157430E-1
2.765447193E0,-8.883354068E-1,-5.563312531E0,-3.278166950E-1
2.775317818E0,-1.094716311E0,-4.106681824E0,-4.283152521E-1
2.785272818E0,-1.027119160E0,-2.880360365E0,-6.538388133E-1
2.795227766E0,-8.069794178E-1,-1.677966833E0,-9.457631707E-1
2.805154641E0,-5.389832854E-1,-5.330012441E-1,-1.051047325E0
2.815109589E0,-2.321037948E-1,2.434697002E-1,-8.596215248E-1
2.825064537E0,-4.761717021E-1,8.662018180E-1,-7.543373108E-1
2.834938026E0,-1.491924882E0,1.259222865E0,-1.554138303E0
2.844892974E0,-1.923231244E0,1.345364571E0,-2.680559635E0
2.854847870E0,-1.568495274E0,1.273579836E0,-3.480360508E0
2.864760526E0,-8.644071817E-1,7.322037220E-1,-4.016951084E0
2.874715474E0,6.041877344E-2,-1.974078715E-1,-3.768097401E0
2.884670370E0,6.687939167E-1,-9.445667267E-1,-2.690130949E0
2.894597245E0,7.405785918E-1,-1.414158225E0,-1.650449395E0
2.904552193E0,6.209374666E-1,-1.596610904E0,-8.644071817E-1
2.914507141E0,4.432703853E-1,-1.514656782E0,-2.991028428E-1
2.924419068E0,2.374876440E-1,-1.328016520E0,4.606183618E-2
2.934374016E0,-1.124626622E-1,-9.206385016E-1,6.113662124E-1
2.944328964E0,-4.761717021E-1,-5.138586760E-1,1.549950838E0
2.954226099E0,-7.543373108E-1,-3.266202807E-1,1.952543259E0
2.964181047E0,-6.634100676E-1,-2.165504545E-1,1.746760488E0
2.974135995E0,-2.656033039E-1,-1.543370634E-1,1.075573802E0
2.984044068E0,6.999006122E-2,-7.674978375E-1,-4.091726840E-1
2.993999016E0,-1.459621787E-1,-2.837289333E0,-1.803590059E0
3.003953964E0,-1.041476011E0,-6.052046776E0,-2.187039852E0
3.013852401E0,-1.482353687E0,-1.095314598E1,-4.591826439E0
3.023807349E0,-1.774876237E0,-1.959123611E1,-6.043671608E0
3.033762349E0,-1.429711580E0,-3.116172981E1,-2.364108801E0
3.043662297E0,-2.550748825E0,-3.085484886E1,4.051048756E0
3.053617245E0,-3.690928936E0,-1.752622986E1,6.537789822E0
3.063572193E0,3.427718580E-1,-1.108235836E1,3.638885021E0
3.073463287E0,2.757728100E-1,-1.476192093E1,-7.639086246E-1
3.083414797E0,-4.232305050E0,-2.385046005E1,-1.554138303E0
3.093366308E0,-4.649254322E0,-3.238326645E1,-1.760519266E0
3.103275891E0,-4.816751957E0,-3.256033325E1,-2.364108801E0
3.113227453E0,-5.818148136E0,-2.592982292E1,-2.943770170E0
3.123178964E0,-2.895913601E0,-2.262413788E1,-2.297109842E0
3.133110006E0,1.090528965E0,-2.231247330E1,-1.832303882E0
3.143061516E0,2.623131752E0,-2.132064819E1,-2.109871387E0
3.153013026E0,1.818545222E0,-1.898764610E1,-1.660020709E0
3.162896412E0,-2.129612118E-1,-1.621855164E1,-5.772684813E-1
3.172847974E0,-1.626521230E0,-1.382752419E1,-2.416750938E-1
3.182799485E0,-2.187039852E0,-1.174397373E1,8.434699476E-2
3.192736776E0,-2.052443504E0,-9.789037704E0,6.448656917E-1
3.202688287E0,-1.410568953E0,-8.045268059E0,9.224331379E-1
3.212639797E0,-7.351947427E-1,-6.607779503E0,1.143171072E0
3.222566516E0,-1.055832982E0,-6.760920525E0,3.562314749E0
3.232518078E0,-4.426721931E-1,-2.114058733E0,-3.863810301E0
3.242469589E0,1.896311939E-1,-1.811964989E0,3.714857101E-1
3.252373131E0,-7.256234884E-1,-2.123630047E0,2.249851465E0
3.262324641E0,-1.118644595E0,3.535395563E-1,-1.046261668E0
3.272276151E0,-1.022333503E0,1.867598057E0,-5.533402562E-1
3.282156151E0,-1.060618639E0,1.810170293E0,-2.560320199E-1
3.292107714E0,-5.724828243E-1,2.284547329E0,-1.027119160E0
3.302059224E0,4.145565331E-1,2.404188633E0,-1.784447432E0
3.311978183E0,1.439880967E0,1.719243050E0,-2.411965132E0
3.321929693E0,2.000399828E0,6.173482537E-1,-2.905484915E0
3.331881203E0,1.852044702E0,-6.047859192E-1,-3.044268608E0
3.341808756E0,1.262812138E0,-1.840678811E0,-2.843271494E0
3.351760266E0,2.997010350E-1,-2.679363251E0,-2.824128866E0
3.361711776E0,-7.160521746E-1,-3.168097258E0,-3.072982550E0
3.371622506E0,-1.698305845E0,-3.824328899E0,-3.044268608E0
3.381574016E0,-2.632104874E0,-4.671986103E0,-2.498106956E0
3.391525526E0,-3.274577856E0,-5.635097504E0,-1.209571838E0
3.401409641E0,-3.053839922E0,-7.153941631E0,-3.086741269E-1
3.411361203E0,-1.487139225E0,-1.070907784E1,-8.213363886E-1
3.421312714E0,-5.389832854E-1,-1.628555107E1,-2.249253273E0
3.431259328E0,-1.539781332E0,-2.047299004E1,-2.440679073E0
3.441210839E0,-2.555534601E0,-2.048734665E1,-2.225325108E0
3.451162349E0,-4.275375843E0,-1.669292831E1,-4.055236340E0
3.461075422E0,-5.976672649E0,-1.366002655E1,-5.243272781E0
3.471026985E0,-8.228319168E0,-1.272084332E1,-2.139183521E0
3.480978495E0,-8.012366295E0,-1.387597847E1,5.150550604E-1
3.490883860E0,-3.144767046E0,-2.037249184E1,-2.943171859E-1
3.500835370E0,1.847259045E0,-2.795175743E1,-2.886342287E0
3.510786933E0,3.318246841E0,-2.970031357E1,-2.507678032E0
3.520669797E0,1.449452281E0,-2.441097832E1,9.367900491E-1
3.530621360E0,1.506880045E0,-2.076491547E1,2.824727058E0
3.540572870E0,1.794616938E0,-1.965344810E1,2.891726255E0
3.550522297E0,-7.417750359E-2,-2.005125618E1,3.284149170E-1
3.560473808E0,-3.403790236E0,-2.103350830E1,-1.391426325E0
3.570425370E0,-6.101099491E0,-2.037249184E1,-5.916253924E-1
3.580309745E0,-6.129813194E0,-1.810110474E1,-4.713860750E-1
