"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.569749958E0,1.131088495E0,-7.046040297E-1,9.918180108E-1
1.579706958E0,1.055192113E0,-6.605076194E-1,8.832735419E-1
1.589663958E0,9.482349753E-1,-5.854285955E-1,7.277742028E-1
1.599620958E0,8.317037821E-1,-4.743426144E-1,5.461122990E-1
1.609578958E0,7.088572383E-1,-3.156624436E-1,3.059106171E-1
1.619535958E0,5.826738477E-1,-1.469011605E-1,3.720875829E-2
1.629492958E0,4.168366492E-1,-4.066126421E-2,-2.019004971E-1
1.639449958E0,2.068149298E-1,1.386664808E-3,-3.746006191E-1
1.649406958E0,-8.522942662E-3,3.170982003E-3,-5.136629343E-1
1.659363958E0,-1.942225397E-1,9.633456357E-4,-6.199190021E-1
1.669320958E0,-3.351668715E-1,3.344112635E-2,-6.896655560E-1
1.679277958E0,-4.304209948E-1,7.449429482E-2,-7.552265525E-1
1.689234958E0,-5.031239390E-1,9.728642553E-2,-8.236540556E-1
1.699192958E0,-5.846889615E-1,1.000644714E-1,-8.869605660E-1
1.709149958E0,-7.449641228E-1,9.853448719E-2,-9.355398417E-1
1.719106958E0,-9.933859110E-1,-2.196334302E-3,-9.555946589E-1
1.729063958E0,-1.235025287E0,-2.270496786E-1,-9.627510905E-1
1.739020958E0,-1.451852202E0,-3.545182943E-1,-1.002708435E0
1.748977958E0,-1.673136353E0,-3.242820799E-1,-1.093208194E0
1.758934958E0,-1.919769049E0,-1.594613791E-1,-1.224712133E0
1.768891958E0,-2.132824898E0,6.114555895E-2,-1.359478235E0
1.778848958E0,-2.260298491E0,2.143778950E-1,-1.453605652E0
1.788806958E0,-2.294296026E0,2.140737623E-1,-1.486235738E0
1.798763958E0,-2.223332882E0,6.877249479E-2,-1.465833783E0
1.808720958E0,-2.145501614E0,7.415873557E-2,-1.520524263E0
1.818677958E0,-2.119790077E0,4.087871909E-1,-1.639698267E0
1.828634958E0,-1.934411526E0,8.491563201E-1,-1.794212818E0
1.838591958E0,-1.619573593E0,1.218672514E0,-1.932966590E0
1.848548958E0,-1.443536758E0,1.356758833E0,-2.027121782E0
1.858505958E0,-1.453931689E0,1.247114420E0,-2.105808496E0
1.868462958E0,-1.500740528E0,8.032908440E-1,-2.086203337E0
1.878420958E0,-1.401324630E0,3.772444725E-1,-2.047492266E0
1.888377958E0,-1.296653032E0,1.944240630E-1,-2.063100576E0
1.898334958E0,-1.342879295E0,-3.495429829E-2,-1.990338087E0
1.908291958E0,-1.446234703E0,-2.046844810E-1,-1.831933260E0
1.918248958E0,-1.484871745E0,-9.881780297E-2,-1.791133523E0
1.928205958E0,-1.529090643E0,3.037064672E-1,-1.884493828E0
1.938162958E0,-1.593633771E0,5.333351493E-1,-1.847450376E0
1.948119958E0,-1.676604867E0,5.831538439E-1,-1.747203946E0
1.958076958E0,-1.723353386E0,3.331983387E-1,-1.477527976E0
1.968034958E0,-1.660938263E0,2.571581602E-1,-1.414228678E0
1.977991958E0,-1.595553756E0,-1.993710920E-2,-1.383941531E0
1.987948958E0,-1.546188831E0,-2.933745086E-1,-1.266376257E0
1.997905958E0,-1.621271014E0,-4.440627694E-1,-1.115682244E0
2.007862958E0,-1.531569839E0,-1.305077970E-1,-1.121832848E0
2.017819958E0,-1.398229599E0,-2.025703937E-1,-1.074647307E0
2.027776958E0,-1.396251917E0,-1.443177462E-1,-9.610710740E-1
2.037733958E0,-1.392980814E0,2.537148297E-1,-1.027939796E0
2.047691958E0,-1.481402516E0,2.748451531E-1,-8.974408507E-1
2.057648958E0,-1.447273612E0,3.788706958E-1,-8.833410740E-1
2.067605958E0,-1.343852162E0,4.064807594E-1,-9.138216972E-1
2.077562958E0,-1.086335540E0,5.562473536E-1,-7.803746462E-1
2.087519958E0,-7.738814354E-1,4.926840663E-1,-6.931689382E-1
2.097476958E0,-4.421461523E-1,4.683339298E-1,-6.604928374E-1
2.107433958E0,-1.872787327E-1,3.749488592E-1,-5.693072677E-1
2.117390958E0,7.060494274E-2,3.230873942E-1,-4.650905728E-1
2.127347958E0,3.138498366E-1,1.801089197E-1,-3.574152291E-1
2.137305958E0,5.401862264E-1,2.945621312E-2,-2.437575310E-1
2.147262958E0,7.195967436E-1,-1.262300611E-1,-8.681771159E-2
2.157219958E0,9.047542810E-1,-2.373253256E-1,8.812762797E-2
2.167176958E0,1.063443303E0,-3.171128631E-1,2.779875696E-1
2.177133958E0,1.179419994E0,-3.797226846E-1,4.546923041E-1
2.187090958E0,1.221672654E0,-4.330679178E-1,6.206828356E-1
2.197047958E0,1.222398043E0,-4.122038782E-1,7.942909598E-1
2.207004958E0,1.224156618E0,-3.519083261E-1,9.484967589E-1
2.216961958E0,1.267111778E0,-3.564278483E-1,1.076408505E0
2.226918958E0,1.327911019E0,-3.180131018E-1,1.202095270E0
2.236876958E0,1.392999172E0,-3.248375952E-1,1.303727388E0
2.246833958E0,1.455640674E0,-3.372103572E-1,1.426357746E0
2.256790958E0,1.481303811E0,-3.335854709E-1,1.512092710E0
