,X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
2404,-8.934320984,-0.03861968994,12.57684631,0.5671589375,-0.05773598701,0.3391513228,2,Pushups
2405,-9.706116028,0.3447331238,12.42895386,0.5685789585,0.04746188968,0.3090347052,2,Pushups
2406,-10.47282166,0.5815406799,12.22058716,0.5400303602,0.1113516539,0.2735249102,2,Pushups
2407,-11.16647919,0.7683522034,12.11670319,0.469789207,0.1492789835,0.2618249655,2,Pushups
2408,-11.73499695,1.043330383,12.22597595,0.3660857081,0.1664928496,0.2458374798,2,Pushups
2409,-12.047547,1.415157166,12.70782394,0.2422399223,0.1404404789,0.2386671901,2,Pushups
2410,-12.0355719,1.692680054,13.4131572,0.1137468889,0.1007683203,0.21936436,2,Pushups
2411,-11.67931274,1.773062897,14.32476151,0.03479917347,0.05292332172,0.16584225,2,Pushups
2412,-11.0229277,1.695673828,15.36779251,0.0007967334241,0.04960342497,0.08585234731,2,Pushups
2413,-10.34019745,1.457369385,16.14797012,-0.005207236856,0.132126376,0.002525332617,2,Pushups
2414,-9.822723541,1.102906494,16.37879013,0.006260867231,0.2406576574,-0.07108284533,2,Pushups
2415,-9.491911469,0.8625064087,16.03390732,0.006944601424,0.3160206079,-0.1316415519,2,Pushups
2416,-9.429042206,0.7533833313,15.32692749,-0.02497524768,0.299282372,-0.1670203209,2,Pushups
2417,-9.512718201,0.5777984619,14.42011322,-0.08509304374,0.2275753319,-0.1807519943,2,Pushups
2418,-9.495803375,0.3947291565,13.60520782,-0.1466570795,0.1248995587,-0.2000047863,2,Pushups
2419,-9.219927063,0.2962339783,12.94582901,-0.206534192,-0.002120774705,-0.2263260335,2,Pushups
2420,-8.679850159,0.3568579102,12.26699066,-0.2708466053,-0.09987263381,-0.243470937,2,Pushups
2421,-8.094866638,0.5438191223,11.61868881,-0.3329184055,-0.1198229343,-0.2509129643,2,Pushups
2422,-7.585026855,0.7997868347,11.01993393,-0.3465463519,-0.06774748117,-0.2691375017,2,Pushups
2423,-7.05917038,1.176403656,10.3633992,-0.3330439627,0.01798249222,-0.280377984,2,Pushups
2424,-6.662046204,1.671124878,9.623038788,-0.3153840303,0.1306643039,-0.2655753493,2,Pushups
2425,-6.490053864,2.000589752,8.896898804,-0.3017263412,0.2185896635,-0.2348859459,2,Pushups
2426,-6.288423157,2.086511078,8.201445007,-0.3096071482,0.2531867921,-0.201644361,2,Pushups
2427,-6.074517975,1.932631073,7.756570129,-0.3202788532,0.253330946,-0.1915990114,2,Pushups
2428,-5.821693726,1.562750244,7.62080246,-0.3348439634,0.2383825928,-0.2030481994,2,Pushups
2429,-5.461842041,1.052012329,7.616910553,-0.3559950888,0.2204911262,-0.2370494455,2,Pushups
2430,-5.004692688,0.5848338318,7.533833313,-0.3877708614,0.236924693,-0.2839274406,2,Pushups
2431,-4.542154541,0.1987866211,7.269333344,-0.4214237332,0.3059485257,-0.344715625,2,Pushups
2432,-4.128265228,-0.1574725342,6.871760101,-0.4459176064,0.4140869677,-0.4281119704,2,Pushups
2433,-3.875740356,-0.4447251892,6.467001801,-0.4734876752,0.4959267676,-0.5138480067,2,Pushups
2434,-4.039948883,-0.705333252,6.123166809,-0.5023217201,0.5016088486,-0.5653868318,2,Pushups
2435,-4.501588898,-0.5831872559,6.089187469,-0.521432817,0.4677505791,-0.5740082264,2,Pushups
2436,-5.005890198,0.01257385254,6.477030945,-0.5002721548,0.4470556974,-0.5588631034,2,Pushups
2437,-5.50525177,0.6358776855,6.951244812,-0.4460191727,0.4323838949,-0.5077255368,2,Pushups
2438,-6.008654938,1.069675598,7.138954468,-0.3841440678,0.4006446302,-0.41933465,2,Pushups
2439,-6.45308075,1.251846771,7.046895905,-0.3471606672,0.3278021216,-0.3213850558,2,Pushups
2440,-6.640640717,0.8637039185,6.758745117,-0.3380095065,0.2821057439,-0.2443739027,2,Pushups
2441,-6.470893707,0.1167572021,6.522386627,-0.3393135071,0.2772992253,-0.2083903104,2,Pushups
2442,-5.850284271,-0.3272195435,6.384822693,-0.3442794979,0.276440084,-0.2011372,2,Pushups
2443,-5.092859344,-0.4721182251,6.210585022,-0.3465890884,0.2681560218,-0.2170801312,2,Pushups
2444,-4.407883759,-0.5709127808,5.97093338,-0.3664139211,0.2881830037,-0.2509006858,2,Pushups
2445,-3.828289032,-0.7972421265,5.698948975,-0.4134033024,0.2966371775,-0.3132717013,2,Pushups
2446,-3.516936493,-1.251248016,5.331762543,-0.468087852,0.2926067412,-0.3887350261,2,Pushups
2447,-3.552712097,-1.754501495,5.122946777,-0.5320438743,0.2733673751,-0.4482881725,2,Pushups
2448,-3.809278564,-2.045196991,4.993016968,-0.5701880455,0.2504660487,-0.4825193882,2,Pushups
2449,-4.21119278,-1.946701813,5.061724091,-0.5803803802,0.2591017485,-0.4959988892,2,Pushups
2450,-4.500690765,-1.61588974,5.316194916,-0.5727187395,0.3181325793,-0.5028581023,2,Pushups
2451,-4.616699524,-1.191222839,5.468278656,-0.5402414799,0.3678179085,-0.4816184938,2,Pushups
2452,-4.553680573,-0.6291416931,5.460644531,-0.4889172912,0.3813382685,-0.4294503629,2,Pushups
2453,-4.473297729,0.04834945679,5.389243011,-0.4256337583,0.3600617349,-0.343051672,2,Pushups
2454,-4.331243134,0.5093907166,5.301076355,-0.3676780462,0.2938840389,-0.2446715683,2,Pushups
2455,-4.154760132,0.4833448792,5.185366974,-0.3233731091,0.1518786252,-0.1512641311,2,Pushups
2456,-3.928131409,0.1121168518,4.884043579,-0.2735906541,-0.01384696551,-0.1029858068,2,Pushups
2457,-3.518732758,-0.5215155029,4.629123688,-0.2387904674,-0.1092080846,-0.06295081228,2,Pushups
2458,-3.161126404,-1.025068359,4.379293213,-0.1965689808,-0.1209177375,-0.01322000194,2,Pushups
2459,-2.984344025,-1.176703033,4.148622894,-0.1186746731,-0.08946247399,0.03136603534,2,Pushups
2460,-2.810256042,-0.8590635681,4.011807404,-0.02602676488,-0.1061128229,0.08882879466,2,Pushups
2461,-2.628084869,-0.2562670898,3.797004089,0.06040331349,-0.1452692151,0.1571764648,2,Pushups
2462,-2.502196655,0.3683839417,3.584895172,0.1420923173,-0.1629496813,0.2422391474,2,Pushups
2463,-2.43723175,0.8590635681,3.466491394,0.226375401,-0.1649279296,0.3391188085,2,Pushups
2464,-2.281405792,1.203048248,3.509601746,0.3007617295,-0.1645881087,0.4272779524,2,Pushups
2465,-2.180066528,1.294508057,3.574117584,0.3714919984,-0.1744666547,0.4964835942,2,Pushups
2466,-2.138303375,1.060694275,3.695814514,0.4363740385,-0.1870325059,0.5376339555,2,Pushups
2467,-2.125130768,0.6081852722,3.783981171,0.5009326935,-0.212249279,0.5428167582,2,Pushups
2468,-2.251917114,0.08487350464,3.706442413,0.5528656244,-0.2373069525,0.5222331882,2,Pushups
2469,-2.522554321,-0.4198768616,3.630550232,0.584919095,-0.2368530482,0.5044924021,2,Pushups
2470,-2.975961456,-0.8822653198,3.675157471,0.5975965261,-0.2479869276,0.489054054,2,Pushups
2471,-3.343447266,-1.169218597,3.784280548,0.5942717791,-0.2590349317,0.4717911482,2,Pushups
2472,-3.570674744,-1.290466461,3.941154327,0.5649085641,-0.2624232769,0.4595882595,2,Pushups
2473,-3.800895996,-1.380130005,4.251009979,0.5323563814,-0.2880107164,0.4422017932,2,Pushups
2474,-4.016447754,-1.400787048,4.723876648,0.5008682013,-0.3538683057,0.4234158397,2,Pushups
2475,-4.262086945,-1.413211212,5.276976471,0.4739176035,-0.4101454914,0.4037844539,2,Pushups
