"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.692549875E0,-2.361788635E0,-2.530323166E1,5.438191223E-1
1.702506875E0,1.112187195E0,-2.869757309E1,-1.295555878E0
1.712463875E0,5.563330994E0,-2.685954529E1,-3.481011200E0
1.722420875E0,7.501650238E0,-2.280926788E1,-2.523602142E0
1.732377875E0,5.709726562E0,-2.060495178E1,-4.203259277E-1
1.742334875E0,5.791456604E-1,-1.960622864E1,-2.396666107E0
1.752292875E0,-3.615431671E0,-1.897963165E1,-5.769602051E0
1.762249875E0,-3.959416351E0,-1.799318298E1,-6.105653229E0
1.772206875E0,-1.814975739E0,-1.628268997E1,-3.052452393E0
1.782163875E0,2.854563904E-1,-1.413001648E1,-1.248403931E-1
1.792120875E0,1.415905609E0,-1.218436249E1,1.373244324E0
1.802078875E0,1.872007141E0,-1.018272491E1,2.066752167E0
1.812035875E0,2.026036835E0,-8.456813965E0,2.024839325E0
1.821992875E0,1.672771454E0,-6.986721039E0,1.645677795E0
1.831949875E0,6.399192810E-1,-5.665418701E0,1.198108521E0
1.841906875E0,-5.393284607E-1,-4.396657104E0,5.980064392E-1
1.851863875E0,-6.939569092E-1,-2.915337524E0,-3.197351074E-1
1.861821875E0,-2.323168945E-1,-1.457519073E0,-9.431886292E-1
1.871778875E0,-8.277786255E-2,-1.169068909E-1,-1.112037506E0
1.881735875E0,-1.043330383E-1,1.218017120E0,-9.208850098E-1
1.891692875E0,-2.173480225E-1,2.178419952E0,-8.912466431E-1
1.901649875E0,-1.553768921E-1,2.743045807E0,-9.421408081E-1
1.911607875E0,-5.074447632E-2,3.006797333E0,-5.989045715E-1
1.921564875E0,1.324745178E-1,2.736459503E0,1.237925720E-1
1.931521875E0,3.540138245E-1,1.851649475E0,4.601431274E-1
1.941478875E0,7.696994019E-1,7.723937988E-1,3.406915283E-1
1.951435875E0,9.190887451E-1,-7.095245361E-2,5.313949585E-2
1.961392875E0,5.125341797E-1,-1.020727386E0,-1.727407837E-1
1.971350875E0,-4.062551880E-1,-2.246079254E0,-5.836363220E-1
1.981307875E0,-1.605411530E0,-2.974165192E0,-1.306782532E0
1.991264875E0,-2.363584900E0,-3.210224304E0,-1.481618958E0
2.001221875E0,-2.028880920E0,-4.004322968E0,-1.028062134E0
2.011178875E0,-1.385219421E0,-5.772446136E0,-4.013154602E-1
2.021135875E0,2.315684509E-1,-8.265362091E0,-6.858737183E-1
2.031093875E0,2.225272522E0,-1.093865295E1,9.818083191E-1
2.041050875E0,2.228415985E0,-1.390204056E1,2.685415649E0
2.051007875E0,1.448388062E0,-1.694161972E1,1.924098816E0
2.060964875E0,1.349443817E0,-1.901959854E1,1.379381561E0
2.070921875E0,7.688012695E-1,-1.968077362E1,1.115180969E0
2.080879875E0,-1.814975739E0,-1.963646576E1,1.760039978E0
2.090836875E0,-3.220852203E0,-1.928215256E1,3.049757996E0
2.100793875E0,-3.004102936E0,-1.877126495E1,5.657335510E0
2.110750875E0,-3.025209045E-1,-1.865151398E1,5.255570984E0
2.120707875E0,3.717519379E0,-1.937765396E1,1.924248505E0
2.130665875E0,5.514233093E0,-2.072889404E1,-9.901908875E-1
2.140622875E0,5.378764801E0,-2.271945465E1,-3.256029053E0
2.150579875E0,4.157155151E0,-2.324231735E1,-3.570974121E0
2.160536875E0,3.231929169E0,-2.108455444E1,-9.656419373E-1
2.170493875E0,2.462379456E0,-1.874596756E1,1.055155792E0
2.180450875E0,1.278491364E0,-1.747945129E1,1.637444916E0
2.190408875E0,8.696914673E-2,-1.627266083E1,1.602268066E0
2.200365875E0,-8.834628296E-1,-1.509715530E1,1.008303223E0
2.210322875E0,-1.347198486E0,-1.408256516E1,3.502716064E-1
2.220279875E0,-9.032217407E-1,-1.294103897E1,4.677772522E-1
2.230236875E0,-7.562274170E-1,-1.199261124E1,5.143304443E-1
2.240194875E0,-1.269510040E0,-1.109432922E1,7.918533325E-2
2.250151875E0,-1.857187958E0,-1.025472519E1,-2.713856506E-1
2.260108875E0,-2.403102722E0,-9.265133057E0,-4.971162415E-1
2.270065875E0,-2.444416809E0,-7.788902893E0,-1.003363495E0
2.280022875E0,-1.942809906E0,-6.033952332E0,-1.282532959E0
2.289979875E0,-1.182690582E0,-4.307442627E0,-8.729846191E-1
2.299937875E0,-2.173480225E-1,-2.842289429E0,-4.870870972E-1
2.309894875E0,9.584568787E-1,-1.380429382E0,-6.918612671E-1
2.319851875E0,2.211800537E0,-1.041833496E-1,-1.337618408E0
