"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.644703875E0,2.665679157E-1,-3.183573782E-1,4.481579363E-1
2.654661875E0,2.280178517E-1,-2.575448751E-1,3.816550672E-1
2.664618875E0,2.051052004E-1,-2.175007463E-1,3.034870625E-1
2.674575875E0,2.325868905E-1,-1.967914701E-1,2.183215618E-1
2.684532875E0,3.128009439E-1,-2.540140450E-1,1.301653832E-1
2.694489667E0,4.126497805E-1,-4.730092287E-1,7.557056844E-2
2.704446667E0,5.212466121E-1,-7.280814052E-1,5.730865523E-2
2.714404667E0,6.257793903E-1,-8.925098181E-1,7.627514750E-2
2.724361667E0,7.325037718E-1,-9.925004244E-1,1.132621244E-1
2.734318667E0,8.260291815E-1,-1.009537458E0,1.800400913E-1
2.744275667E0,8.436629176E-1,-9.539620876E-1,1.978189200E-1
2.754232667E0,7.792778015E-1,-8.452478647E-1,2.102039456E-1
2.764189667E0,8.021876812E-1,-8.063039184E-1,1.684583724E-1
2.774147667E0,8.537728190E-1,-8.638854623E-1,1.398277879E-1
2.784104667E0,8.523055315E-1,-9.508658051E-1,8.350595832E-2
2.794061667E0,8.160021305E-1,-1.000574827E0,1.745211147E-2
2.804018667E0,7.407860756E-1,-9.291535020E-1,-6.529001147E-2
2.813975667E0,6.157176495E-1,-6.587665081E-1,-1.838171780E-1
2.823933667E0,4.444164336E-1,-3.734230101E-1,-3.237870634E-1
2.833890667E0,2.859394252E-1,-3.313477337E-1,-4.149633050E-1
2.843847667E0,8.150902390E-2,-2.393023670E-1,-3.870701492E-1
2.853804667E0,-5.666536093E-2,-2.024165243E-1,-2.512547970E-1
2.863761667E0,-1.590776294E-1,-1.174744591E-1,-9.875955433E-2
2.873718667E0,-2.735147178E-1,3.412438557E-2,-1.392882038E-2
2.883676667E0,-3.040851057E-1,-8.952592313E-2,-9.168768674E-2
2.893633667E0,-1.483118720E-2,-3.771723509E-1,-1.975281090E-1
2.903590667E0,1.582623571E-1,-4.072719216E-1,-2.345903963E-1
2.913547667E0,1.537616104E-1,-2.992362678E-1,-2.134353071E-1
2.923504667E0,2.050370723E-1,-3.954862058E-1,-1.934811026E-1
2.933461667E0,3.032139838E-1,-3.154172301E-1,-8.537887037E-2
2.943419667E0,2.647115588E-1,-2.321278006E-1,6.085510924E-2
2.953376667E0,3.285046518E-1,-1.647641957E-1,2.260187566E-1
2.963333667E0,4.047431946E-1,-3.274697065E-1,2.573212981E-1
2.973290667E0,2.864570320E-1,-3.179853857E-1,1.553171724E-1
2.983247667E0,2.004039586E-1,-2.314272821E-1,1.366162859E-2
2.993205667E0,9.088225663E-2,-2.469298095E-1,-5.700082332E-2
3.003162667E0,1.713361591E-2,-2.215438187E-1,-6.814645231E-2
3.013119667E0,-6.610667706E-2,-1.034848243E-1,-6.494807079E-3
3.023076667E0,-1.181391776E-1,6.394020468E-2,6.617883593E-2
3.033033667E0,-1.507487893E-1,2.554763556E-1,1.061909646E-1
3.042991667E0,-1.308424175E-1,4.188891649E-1,1.403859556E-1
3.052948667E0,-1.185953468E-1,5.880308151E-1,1.826793551E-1
3.062905667E0,-2.133471817E-1,8.059936166E-1,2.423448712E-1
3.072862667E0,-3.499896824E-1,9.654208422E-1,2.341945320E-1
3.082819667E0,-4.163251519E-1,1.116988659E0,1.656517386E-1
3.092776667E0,-4.272321463E-1,1.342550755E0,1.340069920E-1
3.102734667E0,-4.418700933E-1,1.622187614E0,1.520950794E-1
3.112691667E0,-5.161448121E-1,1.853529453E0,1.905537844E-1
3.122648667E0,-5.655284524E-1,1.880863428E0,2.197581083E-1
3.132605667E0,-5.889637470E-1,1.801932096E0,2.204246968E-1
3.142562667E0,-5.734096169E-1,1.704733610E0,1.907396317E-1
3.152519667E0,-5.594211221E-1,1.679539323E0,1.214865297E-1
3.162477667E0,-5.183841586E-1,1.632704258E0,3.999051638E-3
3.172434667E0,-4.493574500E-1,1.461175799E0,-1.667567194E-1
3.182391667E0,-4.047947526E-1,1.225907922E0,-3.122082353E-1
3.192348667E0,-4.025244117E-1,1.042578578E0,-4.379954636E-1
