"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.363279545E0,4.434498787E0,-3.867399693E0,7.438089371E0
3.373231368E0,4.252045631E0,-3.886542082E0,7.658827305E0
3.383183243E0,4.415356159E0,-3.738187075E0,7.802396297E0
3.393053608E0,5.219942570E0,-3.565305710E0,7.936394691E0
3.403005483E0,6.590431690E0,-3.670589924E0,8.128418922E0
3.412957306E0,7.500900745E0,-3.598805189E0,8.085348129E0
3.422903503E0,7.131807804E0,-3.326023579E0,7.654041290E0
3.432855326E0,6.168696880E0,-3.235096216E0,7.855038643E0
3.442807149E0,5.282155991E0,-3.431307554E0,8.036892891E0
3.452705222E0,4.554139614E0,-3.886542082E0,8.022536278E0
3.462656993E0,4.530211449E0,-4.269991875E0,8.382058144E0
3.472608868E0,5.100301266E0,-4.423132420E0,8.477770805E0
3.482501733E0,5.737390518E0,-4.284348965E0,8.367700577E0
3.492453556E0,6.168696880E0,-3.824328899E0,7.926823139E0
3.502405378E0,6.259624004E0,-3.220739365E0,7.304090977E0
3.512345743E0,5.689534187E0,-2.837289333E0,7.476374149E0
3.522297566E0,4.822733879E0,-2.602194548E0,7.716254711E0
3.532249389E0,4.343571186E0,-2.655434847E0,7.821538925E0
3.542151524E0,4.420141697E0,-2.913859844E0,8.224131584E0
3.552103347E0,5.450251579E0,-3.244667530E0,8.626724243E0
3.562055170E0,6.566503525E0,-3.393022537E0,8.655437469E0
3.571974701E0,6.934998035E0,-3.297309637E0,8.362915039E0
3.581923764E0,6.714858532E0,-3.354737282E0,7.764111042E0
3.591872774E0,5.809175014E0,-3.661018610E0,7.423732281E0
3.601760378E0,4.908875465E0,-3.862613916E0,7.591827869E0
3.611709441E0,4.673780918E0,-3.905684710E0,7.859824181E0
3.621658503E0,5.038087845E0,-3.824328899E0,8.047062874E0
3.631581941E0,5.794818401E0,-3.393022537E0,8.449056625E0
3.641530951E0,6.317051888E0,-2.789433002E0,8.684151649E0
3.651480014E0,6.355337143E0,-2.319841623E0,8.544769287E0
3.661400691E0,5.982056618E0,-2.056032896E0,8.200202942E0
3.671349701E0,5.364109993E0,-2.243271112E0,7.850253105E0
3.681298764E0,4.856233597E0,-2.866003275E0,7.587042332E0
3.691203816E0,4.587639332E0,-3.680759430E0,7.663612843E0
3.701152878E0,4.861019135E0,-4.293920040E0,7.912466049E0
3.711101941E0,5.334797859E0,-4.394418716E0,8.353343964E0
3.721047722E0,5.536393166E0,-3.819543123E0,8.712865829E0
3.730996733E0,5.794818401E0,-3.100499868E0,8.559126854E0
3.740945847E0,6.317051888E0,-2.765504837E0,7.960322857E0
3.750829128E0,6.571289062E0,-2.822932482E0,7.725826263E0
3.760778191E0,6.422336102E0,-3.105285645E0,7.802396297E0
3.770727253E0,6.034698486E0,-3.416950703E0,7.869395256E0
3.780671524E0,5.627320766E0,-3.733401537E0,8.036892891E0
3.790620535E0,5.402395248E0,-3.881756544E0,8.209774017E0
3.800569597E0,5.368896008E0,-3.781257868E0,8.042277336E0
3.810451733E0,5.569892883E0,-3.488735437E0,7.634898663E0
3.820400795E0,5.780461311E0,-3.278167009E0,7.189235687E0
3.830349858E0,5.876173973E0,-3.172882795E0,7.083951473E0
3.840268972E0,5.790032387E0,-3.201596737E0,7.337590694E0
3.850218035E0,5.589035511E0,-3.340380430E0,7.759325504E0
3.860167097E0,5.660820007E0,-3.450450182E0,8.133204460E0
3.870082358E0,6.025127411E0,-3.517449379E0,8.027321815E0
3.880031420E0,6.345765591E0,-3.574877024E0,7.869395256E0
3.889980483E0,6.307480335E0,-3.402593851E0,7.673183918E0
3.899910170E0,5.880959988E0,-3.047857761E0,7.308876991E0
3.909859233E0,5.435894966E0,-2.899502754E0,7.189235687E0
3.919808295E0,5.243870735E0,-2.880360365E0,7.476374149E0
3.929720847E0,5.023731232E0,-2.894717216E0,7.773682594E0
3.939669910E0,4.985445976E0,-2.990430117E0,7.831110477E0
3.949618972E0,5.330012321E0,-3.110071182E0,7.821538925E0
3.959560743E0,5.775675774E0,-3.129213810E0,7.855038643E0
3.969509753E0,5.929414749E0,-3.043072224E0,7.596613884E0
3.979458816E0,5.891129494E0,-2.985644341E0,7.591827869E0
3.989343920E0,5.775675774E0,-2.870789051E0,7.807182312E0
3.999292983E0,5.737390518E0,-2.760719061E0,7.773682594E0
4.009242045E0,5.938985825E0,-2.732005358E0,7.835896015E0
4.019158087E0,6.173482418E0,-2.794218540E0,8.056633949E0
4.029107149E0,6.135197163E0,-3.129213810E0,7.898109436E0
4.039056212E0,5.929414749E0,-3.622733593E0,7.902894974E0
4.049001160E0,5.799603939E0,-3.776472330E0,8.109275818E0
4.058950222E0,5.660820007E0,-3.570091486E0,8.295916557E0
4.068899233E0,5.675177097E0,-3.287738323E0,8.305487633E0
4.078789128E0,5.880959988E0,-2.923431158E0,8.343772888E0
4.088735847E0,6.092126369E0,-2.597409010E0,8.382058144E0
4.098682618E0,6.288337708E0,-2.492124796E0,8.636295319E0
4.108619858E0,6.412764549E0,-2.578266382E0,9.033503532E0
4.118566576E0,6.523432732E0,-2.755933523E0,9.110074043E0
