"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.379103399E0,-2.089188248E-1,-1.225017942E-2,1.035939083E-1
2.389062983E0,-2.067883611E-1,3.728315700E-3,9.933298081E-2
2.399022514E0,-2.078536004E-1,-3.728315700E-3,1.121157780E-1
2.408889181E0,-2.174406946E-1,-3.462007269E-2,1.312899739E-1
2.418848764E0,-2.185059190E-1,-6.125089899E-2,1.504641622E-1
2.428808295E0,-2.110492885E-1,-5.592473224E-2,1.707035899E-1
2.438705847E0,-2.003969699E-1,-3.248960897E-2,1.760297567E-1
2.448665431E0,-2.014621943E-1,-2.077204362E-2,1.653774232E-1
2.458624962E0,-2.046578974E-1,-9.054481052E-3,1.334204376E-1
2.468536316E0,-2.014621943E-1,4.793548491E-3,1.046591476E-1
2.478495899E0,-1.961360276E-1,1.597849536E-3,8.761541545E-2
2.488455431E0,-1.833532304E-1,-1.651111245E-2,7.483261824E-2
2.498360951E0,-1.652442664E-1,-4.314193875E-2,7.376738638E-2
2.508320535E0,-1.439396143E-1,-7.722939551E-2,7.483261824E-2
2.518280066E0,-1.077216864E-1,-8.255556226E-2,6.524552405E-2
2.528182670E0,-8.322133124E-2,-6.870753318E-2,4.713656008E-2
2.538142253E0,-9.174319357E-2,-7.296846062E-2,3.009283356E-2
2.548101785E0,-1.034607589E-1,-7.083799690E-2,3.115806542E-2
2.557963920E0,-1.183740199E-1,-5.379426852E-2,5.033225939E-2
2.567919024E0,-1.375482082E-1,-3.675054014E-2,7.163692266E-2
2.577874128E0,-1.524614692E-1,-3.355484083E-2,8.761541545E-2
2.587775170E0,-1.631138027E-1,-4.527240247E-2,8.655018359E-2
2.597730274E0,-1.641790420E-1,-5.698996782E-2,6.950645149E-2
2.607685378E0,-1.386134475E-1,-5.698996782E-2,4.074516147E-2
2.617601264E0,-1.109173894E-1,-7.190322876E-2,-1.864157850E-3
2.627556420E0,-8.215609938E-2,-8.681648970E-2,-4.447348043E-2
2.637511524E0,-5.232957378E-2,-6.764229387E-2,-7.749570161E-2
2.647410222E0,-3.528584540E-2,-6.338136643E-2,-9.666989744E-2
2.657365274E0,-3.102491237E-2,-7.509893179E-2,-9.773512930E-2
2.667320431E0,-2.037258074E-2,-6.657706201E-2,-8.388710022E-2
2.677246837E0,1.997311832E-3,-5.698996782E-2,-5.193011090E-2
2.687201941E0,2.969337068E-2,-4.207670316E-2,-1.890788600E-2
2.697157045E0,4.886756465E-2,-2.929390781E-2,3.462007269E-3
2.707046420E0,4.993279651E-2,-4.420717061E-2,1.331541222E-3
2.717001576E0,3.288906813E-2,-6.338136643E-2,-1.890788600E-2
2.726956681E0,8.388710208E-3,-6.338136643E-2,-3.169068322E-2
2.736866212E0,-1.824211515E-2,-5.485950038E-2,-2.742975019E-2
2.746821368E0,-3.422060981E-2,-3.568530455E-2,2.663082560E-4
2.756776472E0,-2.569874749E-2,-1.597849536E-3,4.181039706E-2
2.766696785E0,-1.611164957E-2,2.183727734E-2,7.057169080E-2
2.776651889E0,-2.356828004E-2,2.183727734E-2,6.631075591E-2
2.786606993E0,-4.700340703E-2,1.011971384E-2,4.074516147E-2
2.796478399E0,-6.511236727E-2,-7.989247330E-3,1.304910425E-2
2.806433451E0,-6.937330216E-2,-1.011971384E-2,4.527240526E-3
2.816388556E0,-6.085143611E-2,2.183727734E-2,2.263620123E-2
2.826315847E0,-4.167724028E-2,6.764229387E-2,5.991935730E-2
2.836271003E0,-3.635107726E-2,1.102516204E-1,8.548495173E-2
2.846226108E0,-3.315537795E-2,1.336867511E-1,9.294158220E-2
2.856137618E0,-2.356828004E-2,1.145125479E-1,7.589785010E-2
2.866092722E0,-7.589785382E-3,7.403369248E-2,3.115806542E-2
2.876047826E0,2.756290510E-2,5.166380107E-2,-2.103835158E-2
2.885944128E0,6.378082931E-2,4.953333735E-2,-6.258244067E-2
2.895899233E0,8.402025700E-2,5.059856921E-2,-7.749570161E-2
2.905854337E0,7.656362653E-2,4.314193875E-2,-6.684337556E-2
2.915762045E0,5.312849581E-2,3.248960897E-2,-4.234301299E-2
2.925717149E0,2.117150649E-2,1.970681176E-2,-1.997311972E-2
2.935672253E0,-1.185071748E-2,1.597849536E-3,-6.125089712E-3
2.945548608E0,-2.782921307E-2,-1.757634431E-2,-1.864157850E-3
2.955503712E0,-1.717688330E-2,-3.568530455E-2,2.396774245E-3
2.965458816E0,9.320789250E-4,-6.231613085E-2,-7.989247679E-4
2.975384285E0,2.117150649E-2,-8.681648970E-2,-9.320789017E-3
