"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.871149223E0,1.680804610E0,-2.412752807E-1,-1.701709777E-1
1.881087453E0,1.712761521E0,-2.561885417E-1,-1.648448110E-1
1.891013859E0,1.728740096E0,-2.753627300E-1,-1.669752747E-1
1.900952088E0,1.760697007E0,-2.838846147E-1,-1.829537749E-1
1.910890265E0,1.796914935E0,-2.412752807E-1,-2.074541301E-1
1.920805786E0,1.813958645E0,-1.709699035E-1,-2.170412242E-1
1.930744015E0,1.841654778E0,-1.326215118E-1,-2.063889056E-1
1.940682192E0,1.871614456E0,-1.571218669E-1,-1.904104054E-1
1.950632713E0,1.897179961E0,-1.400781423E-1,-1.818885356E-1
1.960570942E0,1.895049572E0,-6.551183015E-2,-1.882799417E-1
1.970509119E0,1.881201506E0,-3.462007269E-2,-1.946713328E-1
1.980436411E0,1.853372335E0,6.924014539E-3,-2.010627389E-1
1.990374692E0,1.820350051E0,6.231613085E-2,-2.095845938E-1
2.000312817E0,1.810763001E0,3.781577200E-2,-2.202369273E-1
2.010261984E0,1.837393761E0,-7.989247330E-3,-2.085193694E-1
2.020200213E0,1.847114086E0,-1.597849536E-3,-1.978670359E-1
2.030138390E0,1.840589523E0,5.485950038E-2,-1.840189993E-1
2.040070213E0,1.828871965E0,1.102516204E-1,-1.754971445E-1
2.050008442E0,1.806502104E0,1.411433816E-1,-1.872147024E-1
2.059946671E0,1.796914935E0,1.464695334E-1,-2.191716880E-1
2.069880890E0,1.779871225E0,1.624480337E-1,-2.777595222E-1
2.079819015E0,1.754305601E0,1.571218669E-1,-3.299559355E-1
2.089757140E0,1.746849060E0,1.358172148E-1,-3.672390878E-1
2.099694380E0,1.759631753E0,1.368824393E-1,-4.077179432E-1
2.109632557E0,1.774545074E0,1.635132730E-1,-4.492620230E-1
2.119570630E0,1.779871225E0,2.221010923E-1,-4.716319144E-1
2.129535838E0,1.772414565E0,3.051892519E-1,-4.801537991E-1
2.139473963E0,1.742588043E0,3.882774413E-1,-5.003932118E-1
2.149412088E0,1.734066248E0,3.967992961E-1,-5.174369216E-1
2.159323703E0,1.750044703E0,3.211677670E-1,-5.153064728E-1
2.169261880E0,1.762827516E0,3.350157738E-1,-5.270240307E-1
2.179200005E0,1.784132123E0,3.669727743E-1,-5.483286977E-1
2.189146098E0,1.821415305E0,3.744294047E-1,-5.653724074E-1
2.199084223E0,1.842853189E0,3.680379987E-1,-5.856118798E-1
2.209022348E0,1.835263371E0,4.585828185E-1,-6.335473657E-1
2.218949171E0,1.840589523E0,4.607132971E-1,-6.537867785E-1
2.228887296E0,1.859896898E0,4.063864052E-1,-6.782871485E-1
2.238825421E0,1.885462403E0,3.669727743E-1,-7.134398222E-1
2.248775786E0,1.911028028E0,3.403419554E-1,-7.379401922E-1
2.258713859E0,1.887592912E0,4.383433759E-1,-7.762885690E-1
2.268651984E0,1.827806711E0,4.223648906E-1,-7.539186478E-1
2.278603911E0,1.782001734E0,3.179720640E-1,-6.900047064E-1
2.288542036E0,1.760697007E0,2.700365782E-1,-6.516563296E-1
2.298480161E0,1.738327146E0,1.720351279E-1,-5.962641835E-1
2.308400890E0,1.729805231E0,1.262301207E-1,-5.834813714E-1
2.318339015E0,1.714892030E0,1.049254537E-1,-5.930684805E-1
2.328277192E0,1.638195276E0,4.740286991E-2,-5.419372916E-1
2.338213651E0,1.531671882E0,-1.651111245E-2,-4.748276174E-1
2.348151776E0,1.436866164E0,-3.462007269E-2,-4.450010955E-1
2.358089901E0,1.352712750E0,1.331541315E-2,-4.300878346E-1
2.368041255E0,1.261102796E0,-1.757634431E-2,-3.842828274E-1
2.377979328E0,1.198253989E0,-1.187734827E-1,-3.608476818E-1
2.387917505E0,1.158840418E0,-2.061225921E-1,-3.736304939E-1
2.397843598E0,1.053382277E0,-2.817541361E-1,-3.267602324E-1
2.407781776E0,8.840102553E-1,-2.689713240E-1,-2.500634491E-1
2.417719848E0,7.242252827E-1,-2.338186502E-1,-1.754971445E-1
2.427656098E0,6.049191952E-1,-2.434057444E-1,-1.211702600E-1
2.437594223E0,5.154396296E-1,-2.742975056E-1,-8.388710022E-2
2.447532401E0,4.355471432E-1,-2.913412452E-1,-5.406057462E-2
2.457490005E0,3.663070202E-1,-2.402100414E-1,-5.193011090E-2
2.467428130E0,2.842840552E-1,-2.029268891E-1,-5.938674137E-2
2.477366255E0,1.948044896E-1,-1.454043090E-1,-8.069140464E-2
2.487284223E0,9.786828607E-2,-9.320788831E-2,-1.019960642E-1
2.497222401E0,-8.655018173E-3,-1.027949899E-1,-1.073222235E-1
2.507160526E0,-1.055912226E-1,-6.870753318E-2,-9.027849883E-2
2.517135630E0,-1.790923029E-1,5.805519968E-2,-5.193011090E-2
2.527073755E0,-2.259625494E-1,2.135792226E-1,-1.864157850E-3
2.537011880E0,-2.355496585E-1,2.732322812E-1,4.820179567E-2
2.546919901E0,-2.355496585E-1,2.114487588E-1,9.294158220E-2
2.556857973E0,-2.547238469E-1,1.283605844E-1,1.280942708E-1
2.566796151E0,-2.983984053E-1,1.091863886E-1,1.707035899E-1
2.576753598E0,-3.548557460E-1,1.240996495E-1,2.165086120E-1
2.586691828E0,-4.400743842E-1,1.262301207E-1,2.719007432E-1
2.596630057E0,-5.434020162E-1,1.379476786E-1,3.336842358E-1
2.606554015E0,-6.563166976E-1,1.922745556E-1,3.848154247E-1
2.616492192E0,-7.734923363E-1,2.998631001E-1,4.264926612E-1
2.626430473E0,-8.864070177E-1,4.703003764E-1,4.659062922E-1
2.636384067E0,-9.939955473E-1,6.300853491E-1,5.074504018E-1
2.646322296E0,-1.103714585E0,6.705641747E-1,5.319507122E-1
2.656260526E0,-1.221955419E0,6.013240218E-1,5.319507122E-1
2.666167192E0,-1.346587658E0,5.416709781E-1,5.181027055E-1
2.676105421E0,-1.484002709E0,4.756265581E-1,4.904066622E-1
2.686043703E0,-1.629939675E0,3.925383687E-1,4.509930313E-1
2.696018807E0,-1.730071545E0,4.117125571E-1,4.050548673E-1
2.705957036E0,-1.659766197E0,2.679060996E-1,3.517931998E-1
2.715895265E0,-1.436067224E0,-2.609820850E-2,3.038577139E-1
2.725808494E0,-1.319956899E0,-1.475347728E-1,2.591179311E-1
2.735746671E0,-1.364696622E0,-1.970681176E-2,1.781602204E-1
2.745684953E0,-1.421154022E0,1.688394397E-1,1.557903290E-1
2.755639484E0,-1.433936834E0,5.592473224E-2,2.175738513E-1
2.765577713E0,-1.443523884E0,-3.051892519E-1,2.047910541E-1
2.775515942E0,-1.494655132E0,-6.386072040E-1,1.983996481E-1
2.785423651E0,-1.591591239E0,-7.643046975E-1,3.091838956E-1
2.795361880E0,-1.684266567E0,-7.110430598E-1,4.776238501E-1
2.805300161E0,-1.704506040E0,-5.161054134E-1,6.619091630E-1
2.815239432E0,-1.636331081E0,-1.454043090E-1,7.939980626E-1
2.825177661E0,-1.577743292E0,5.592473224E-2,8.302159905E-1
2.835115942E0,-1.591591239E0,9.533835202E-2,7.247579098E-1
2.845097713E0,-1.620352626E0,1.411433816E-1,5.234288573E-1
2.855035942E0,-1.678940415E0,2.609820850E-2,4.296883643E-1
2.864974223E0,-1.731136799E0,-2.711018026E-1,5.031894445E-1
2.874895109E0,-1.697049379E0,-4.500609636E-1,6.310173869E-1
