"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.004382973E0,-1.348355532E0,-5.740381718E0,-6.177670002E0
3.014321203E0,-1.534995675E0,-5.975476265E0,-7.840083599E0
3.024277817E0,-1.353141189E0,-6.646064758E0,-8.381459236E0
3.034216046E0,-8.883354068E-1,-7.335795879E0,-8.568697929E0
3.044154276E0,-1.195214868E0,-7.968697548E0,-9.071190834E0
3.054090994E0,-1.904088616E0,-8.184051514E0,-9.334999084E0
3.064029223E0,-2.632104874E0,-7.489534855E0,-8.170890808E0
3.073967453E0,-3.662214994E0,-6.425925255E0,-7.102495670E0
3.083885786E0,-3.705285788E0,-5.443671703E0,-7.859225750E0
3.093823911E0,-2.852842808E0,-4.628915310E0,-8.146963120E0
3.103762088E0,-1.899302959E0,-3.867399693E0,-8.989834785E0
3.113712765E0,-1.099501967E0,-3.483949661E0,-1.044167995E1
3.123650890E0,-5.964110494E-1,-3.641875982E0,-1.003908730E1
3.133589067E0,-1.075573802E0,-4.298706055E0,-9.258428574E0
3.143515421E0,-1.693520188E0,-4.811367989E0,-8.846264839E0
3.153453546E0,-1.377069473E0,-5.405386448E0,-9.013762474E0
3.163391723E0,-8.596215248E-1,-5.448457241E0,-8.592626572E0
3.173348651E0,-3.421736360E-1,-5.002793789E0,-8.347960472E0
3.183286776E0,-5.389832854E-1,-4.284348965E0,-8.592626572E0
3.193224953E0,-1.501496196E0,-3.598805189E0,-9.008976936E0
3.203157713E0,-2.742773056E0,-3.268595695E0,-8.937192917E0
3.213095838E0,-2.728415966E0,-3.105285645E0,-8.481958389E0
3.223034015E0,-1.722234130E0,-3.187239647E0,-9.459425926E0
3.232952765E0,-1.487139225E0,-3.023929596E0,-1.018804073E1
3.242890890E0,-1.770090580E0,-2.894717216E0,-9.588638306E0
3.252829067E0,-1.539781332E0,-3.215953588E0,-9.075976372E0
3.262789484E0,-1.875374794E0,-3.302095175E0,-1.001037312E1
3.272727609E0,-1.817947030E0,-3.192025423E0,-1.006301594E1
