"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.494775667E0,-6.396214366E-1,-3.560858369E-1,3.910984844E-3
1.504838667E0,-6.969484091E-1,-3.579714149E-2,1.333056297E-2
1.514902667E0,-6.619816422E-1,1.982683539E-1,-3.108990006E-2
1.524965667E0,-5.502439737E-1,2.681990564E-1,-7.895141095E-2
1.535028667E0,-4.281124771E-1,1.715345681E-1,-1.150164679E-1
1.545092667E0,-3.442848921E-1,-9.079287760E-3,-1.335305870E-1
1.555155667E0,-3.393878639E-1,-1.657258868E-1,-1.439416856E-1
1.565218667E0,-4.052241743E-1,-2.245018631E-1,-1.530887634E-1
1.575282667E0,-4.689152539E-1,-1.750762612E-1,-1.677760929E-1
1.585345667E0,-5.142132044E-1,-1.085571870E-1,-1.820237935E-1
1.595408667E0,-5.326084495E-1,-6.467068940E-2,-2.012616694E-1
1.605472667E0,-5.323022008E-1,-2.765962854E-2,-2.261646539E-1
1.615535667E0,-5.147035122E-1,3.001751378E-2,-2.531701624E-1
1.625598667E0,-4.921843708E-1,1.094846874E-1,-2.807234228E-1
1.635662667E0,-4.692803919E-1,1.629902571E-1,-3.004736900E-1
1.645725667E0,-4.494723380E-1,1.988982707E-1,-3.068745732E-1
1.655788667E0,-4.384987950E-1,2.207724154E-1,-2.939957976E-1
1.665852667E0,-4.393131733E-1,2.157236338E-1,-2.764545679E-1
1.675915667E0,-4.502134919E-1,1.697207242E-1,-2.584310770E-1
1.685979667E0,-4.762777984E-1,1.315895021E-1,-2.363462448E-1
1.696042667E0,-5.007743835E-1,1.388103962E-1,-2.299621105E-1
1.706105667E0,-5.145165920E-1,1.884176731E-1,-2.444181293E-1
1.716169667E0,-5.036916733E-1,2.652091384E-1,-2.682560682E-1
1.726232667E0,-4.730256796E-1,3.660513759E-1,-2.838341594E-1
1.736295667E0,-4.387340248E-1,4.826858044E-1,-2.872658968E-1
1.746359667E0,-4.169459045E-1,5.581980348E-1,-2.890258431E-1
1.756422667E0,-3.979852498E-1,5.589754581E-1,-2.737049460E-1
1.766485667E0,-3.808815777E-1,5.170584917E-1,-2.414108515E-1
1.776549667E0,-3.622394502E-1,4.424737394E-1,-1.985321045E-1
1.786612667E0,-3.505622149E-1,3.265990019E-1,-1.539478898E-1
1.796675667E0,-3.586238623E-1,1.636729240E-1,-1.131985933E-1
1.806739667E0,-3.783308268E-1,1.502994634E-2,-7.900894433E-2
1.816802667E0,-4.131505787E-1,-6.157907844E-2,-5.394380912E-2
1.826865667E0,-4.671576321E-1,-7.830306143E-2,-3.912589327E-2
1.836929667E0,-5.242558122E-1,-4.810974002E-2,-2.629584819E-2
1.846992667E0,-5.610133410E-1,-1.281331107E-2,-2.414052375E-2
1.857055667E0,-5.604646802E-1,6.836824119E-3,-1.854469068E-2
1.867119667E0,-5.056144595E-1,3.627805039E-3,-3.292746842E-3
1.877182667E0,-4.052356482E-1,-5.871689878E-3,3.859704826E-3
1.887246667E0,-2.951619029E-1,-4.646479338E-2,1.339516137E-2
1.897309667E0,-2.075998336E-1,-1.306387931E-1,5.002481118E-2
1.907372667E0,-1.652326882E-1,-2.493674010E-1,1.108366475E-1
1.917436667E0,-1.457426101E-1,-3.494639099E-1,1.862746924E-1
1.927499667E0,-1.327977329E-1,-3.880012035E-1,2.300635576E-1
1.937562667E0,-1.152283251E-1,-3.631041348E-1,2.130803019E-1
1.947626667E0,-9.293583035E-2,-2.758050561E-1,1.442189515E-1
1.957689667E0,-6.173264235E-2,-1.539462358E-1,8.348450065E-2
1.967752667E0,-1.859613135E-2,-6.242792308E-2,6.516525894E-2
1.977816667E0,2.839854173E-2,-5.167993531E-2,6.806491315E-2
